iter	RMSE
0	1.609159935
1	1.548299492
2	1.491986523
3	1.440231127
4	1.392962286
5	1.34880312
6	1.30808534
7	1.270978125
8	1.23607226
9	1.203390307
10	1.173816069
11	1.147339427
12	1.122127171
13	1.098525369
14	1.077561402
15	1.057942478
16	1.03988483
17	1.023028862
18	1.005855154
19	0.9912214089
20	0.9780114901
21	0.9657068577
22	0.9505878241
23	0.9394821965
24	0.9292760997
25	0.9187780028
26	0.9100829717
27	0.8993918901
28	0.8917483576
29	0.8808834602
30	0.8736290931
31	0.8671159785
32	0.8605204582
33	0.8543620788
34	0.8487529357
35	0.8431347555
36	0.837905999
37	0.8330128283
38	0.8271127582
39	0.8225857906
40	0.814481469
41	0.8099331449
42	0.8057052004
43	0.8013831827
44	0.7976766637
45	0.7940190253
46	0.7905236107
47	0.7842248258
48	0.781048371
49	0.7778614979
50	0.7744954396
51	0.7693318195
52	0.7635112116
53	0.7607748347
54	0.7581151247
55	0.7549044048
56	0.7524314226
57	0.7496766036
58	0.7470919798
59	0.7447256445
60	0.7425525365
61	0.7399689319
62	0.7378540031
63	0.7333639086
64	0.7312917854
65	0.7294756018
66	0.7263188395
67	0.7241490689
68	0.7217792698
69	0.7198120077
70	0.7178912501
71	0.7160820084
72	0.7142885667
73	0.7111174126
74	0.7071035813
75	0.7045781998
76	0.7029626253
77	0.6982530584
78	0.6962055741
79	0.6935838071
80	0.6919479063
81	0.6885128051
82	0.6862402292
83	0.6847901333
84	0.6825570755
85	0.680964044
86	0.6784025235
87	0.677055122
88	0.6757134502
89	0.6743742414
90	0.6725290016
91	0.6705436796
92	0.6675045426
93	0.6643284179
94	0.6630915546
95	0.6613030184
96	0.6591815926
97	0.6580880436
98	0.656923476
99	0.6555900478
100	0.653081718
101	0.6516699519
102	0.6502610862
103	0.6488486865
104	0.6476574231
105	0.6465655021
106	0.6454175983
107	0.6443882473
108	0.6431166315
109	0.6410500489
110	0.6394342629
111	0.6375470917
112	0.6365210903
113	0.6350437477
114	0.6341345373
115	0.6328512932
116	0.632039758
117	0.630844609
118	0.6296750781
119	0.6286487644
120	0.6262964549
121	0.6253877411
122	0.6244398656
123	0.623560496
124	0.6215782879
