iter	Passed	Remaining
0	138	124298
1	226	101751
2	313	93821
3	397	89035
4	473	84677
5	552	82325
6	631	80571
7	707	78911
8	784	77697
9	867	77179
10	948	76627
11	1030	76279
12	1118	76317
13	1215	76919
14	1450	85584
15	1564	86459
16	1663	86414
17	1789	87663
18	1885	87422
19	1973	86849
20	2061	86304
21	2149	85781
22	2233	85156
23	2319	84661
24	2404	84153
25	2491	83742
26	2582	83507
27	2676	83348
28	2757	82817
29	2852	82729
30	2936	82303
31	3022	81997
32	3113	81791
33	3196	81429
34	3282	81116
35	3372	80938
36	3454	80583
37	3532	80140
38	3609	79695
39	3687	79276
40	3765	78895
41	3845	78564
42	3933	78400
43	4009	77995
44	4087	77655
45	4170	77418
46	4260	77318
47	4344	77119
48	4434	77009
49	4519	76835
50	4604	76655
51	4690	76497
52	4779	76383
53	4866	76238
54	4951	76076
55	5041	75977
56	5129	75860
57	5215	75720
58	5298	75523
59	5384	75381
60	5468	75210
61	5545	74948
62	5622	74692
63	5693	74372
64	5768	74103
65	5843	73846
66	5921	73615
67	5996	73362
68	6081	73237
69	6160	73047
70	6240	72859
71	6317	72655
72	6392	72423
73	6472	72248
74	6552	72082
75	6637	71965
76	6719	71823
77	6795	71608
78	6874	71446
79	6958	71322
80	7051	71297
81	7134	71170
82	7210	70979
83	7293	70851
84	7379	70753
85	7461	70623
86	7550	70558
87	7635	70455
88	7720	70354
89	7801	70211
90	7880	70056
91	7961	69923
92	8040	69767
93	8113	69567
94	8191	69409
95	8268	69247
96	8342	69063
97	8414	68859
98	8492	68708
99	8572	68582
100	8653	68460
101	8732	68322
102	8808	68162
103	8888	68031
104	8972	67933
105	9051	67802
106	9134	67700
107	9220	67620
108	9310	67565
109	9394	67472
110	9477	67366
111	9563	67287
112	9651	67220
113	9735	67121
114	9819	67026
115	9904	66940
116	9989	66854
117	10075	66771
118	10162	66693
119	10276	66794
120	10362	66713
121	10444	66603
122	10530	66523
123	10618	66450
124	10702	66357
125	10789	66277
126	10874	66187
127	10958	66092
128	11045	66015
129	11128	65915
130	11208	65797
131	11288	65680
132	11372	65581
133	11446	65430
134	11528	65326
135	11608	65213
136	11686	65088
137	11770	64992
138	11855	64906
139	11939	64815
140	12022	64719
141	12109	64640
142	12195	64561
143	12284	64491
144	12367	64398
145	12442	64259
146	12521	64142
147	12601	64028
148	12680	63912
149	12759	63796
150	12836	63672
151	12914	63552
152	12992	63433
153	13071	63318
154	13144	63177
155	13222	63059
156	13298	62935
157	13376	62817
158	13449	62679
159	13527	62566
160	13606	62455
161	13682	62332
162	13756	62197
163	13832	62075
164	13909	61960
165	13988	61852
166	14065	61735
167	14152	61663
168	14237	61584
169	14322	61502
170	14404	61407
171	14489	61328
172	14574	61245
173	14664	61184
174	14750	61107
175	14835	61026
176	14921	60950
177	15007	60871
178	15097	60812
179	15180	60723
180	15264	60637
181	15348	60550
182	15433	60468
183	15558	60544
184	15664	60539
185	15749	60458
186	15835	60377
187	15924	60310
188	16012	60236
189	16095	60146
190	16258	60351
191	16344	60268
192	16428	60181
193	16511	60088
194	16592	59987
195	16677	59903
196	16762	59818
197	16847	59732
198	16936	59659
199	17023	59581
200	17110	59505
201	17195	59416
202	17278	59326
203	17363	59240
204	17448	59153
205	17531	59062
206	17619	58986
207	17705	58903
208	17787	58810
209	17866	58703
210	17949	58611
211	18030	58515
212	18112	58418
213	18189	58307
214	18264	58190
215	18340	58079
216	18416	57965
217	18491	57848
218	18570	57746
219	18656	57665
220	18733	57557
221	18808	57442
222	18881	57323
223	18957	57209
224	19040	57120
225	19115	57007
226	19195	56909
227	19278	56820
228	19370	56758
229	19467	56708
230	19554	56630
231	19634	56534
232	19719	56450
233	19800	56353
234	19882	56264
235	19960	56159
236	20038	56056
237	20111	55941
238	20192	55847
239	20278	55765
240	20369	55699
241	20452	55610
242	20534	55519
243	20617	55430
244	20699	55338
245	20788	55266
246	20877	55194
247	20968	55128
248	21050	55034
249	21131	54941
250	21206	54832
251	21285	54733
252	21365	54638
253	21444	54538
254	21524	54443
255	21608	54358
256	21692	54273
257	21781	54200
258	21869	54124
259	21961	54059
260	22050	53986
261	22139	53911
262	22226	53834
263	22312	53751
264	22395	53663
265	22481	53583
266	22569	53506
267	22661	53441
268	22744	53352
269	22826	53261
270	22914	53184
271	23000	53104
272	23087	53024
273	23170	52936
274	23259	52862
275	23342	52775
276	23429	52695
277	23512	52606
278	23592	52512
279	23677	52427
280	23762	52345
281	23848	52263
282	23931	52175
283	24008	52075
284	24086	51975
285	24176	51903
286	24267	51832
287	24354	51753
288	24446	51683
289	24528	51594
290	24610	51503
291	24696	51422
292	24783	51343
293	24870	51263
294	24960	51189
295	25044	51105
296	25123	51008
297	25200	50908
298	25281	50816
299	25362	50725
300	25444	50634
301	25528	50549
302	25611	50461
303	25697	50379
304	25785	50302
305	25871	50221
306	25953	50132
307	26029	50031
308	26105	49930
309	26189	49844
310	26271	49754
311	26351	49662
312	26435	49577
313	26520	49493
314	26607	49414
315	26691	49328
316	26774	49240
317	26865	49168
318	26951	49086
319	27045	49020
320	27132	48940
321	27218	48857
322	27331	48823
323	27423	48753
324	27509	48670
325	27592	48582
326	27681	48506
327	27770	48428
328	27850	48336
329	27925	48235
330	28003	48139
331	28087	48054
332	28174	47973
333	28258	47887
334	28346	47809
335	28427	47717
336	28516	47639
337	28594	47545
338	28673	47451
339	28750	47353
340	28823	47250
341	28900	47153
342	28975	47053
343	29053	46959
344	29131	46864
345	29216	46780
346	29300	46694
347	29378	46600
348	29459	46510
349	29543	46425
350	29622	46332
351	29707	46248
352	29789	46160
353	29874	46078
354	29960	45995
355	30044	45910
356	30138	45841
357	30227	45762
358	30311	45678
359	30399	45599
360	30488	45521
361	30577	45444
362	30662	45360
363	30740	45266
364	30821	45176
365	30926	45121
366	31026	45059
367	31113	44978
368	31208	44910
369	31294	44826
370	31386	44753
371	31470	44667
372	31548	44573
373	31630	44485
374	31712	44396
375	31793	44307
376	31873	44216
377	31958	44133
378	32032	44034
379	32116	43949
380	32203	43867
381	32291	43787
382	32377	43705
383	32460	43618
384	32544	43534
385	32632	43454
386	32720	43373
387	32806	43290
388	32905	43224
389	32990	43141
390	33078	43061
391	33164	42978
392	33246	42889
393	33328	42802
394	33414	42719
395	33502	42639
396	33590	42558
397	33675	42474
398	33762	42393
399	33845	42306
400	33937	42231
401	34019	42143
402	34104	42060
403	34191	41977
404	34265	41880
405	34340	41783
406	34418	41691
407	34498	41601
408	34589	41523
409	34681	41448
410	34765	41363
411	34846	41274
412	34926	41183
413	35012	41102
414	35091	41010
415	35167	40916
416	35246	40824
417	35334	40744
418	35427	40669
419	35503	40575
420	35608	40514
421	35713	40452
422	35800	40371
423	35887	40288
424	35975	40208
425	36066	40129
426	36164	40060
427	36258	39985
428	36383	39945
429	36493	39888
430	36594	39820
431	36676	39733
432	36797	39687
433	36885	39605
434	36977	39527
435	37068	39449
436	37150	39361
437	37230	39270
438	37309	39179
439	37387	39086
440	37466	38995
441	37542	38901
442	37627	38816
443	37817	38839
444	37898	38750
445	37979	38660
446	38057	38568
447	38131	38472
448	38219	38390
449	38299	38299
450	38380	38210
451	38458	38118
452	38540	38029
453	38639	37958
454	38716	37865
455	38800	37779
456	38891	37699
457	38973	37611
458	39048	37517
459	39128	37427
460	39272	37398
461	39394	37347
462	39513	37294
463	39636	37244
464	39716	37153
465	39797	37064
466	39878	36975
467	39969	36895
468	40055	36809
469	40152	36735
470	40297	36704
471	40492	36717
472	40622	36671
473	40755	36628
474	40850	36550
475	40926	36455
476	41004	36362
477	41086	36272
478	41170	36185
479	41255	36098
480	41359	36028
481	41607	36082
482	41814	36101
483	42016	36113
484	42140	36058
485	42242	35984
486	42339	35906
487	42755	36097
488	42927	36080
489	43106	36068
490	43364	36122
491	43569	36130
492	43733	36104
493	43875	36059
494	44017	36014
495	44209	36009
496	44415	36014
497	44599	36001
498	44902	36084
499	45185	36148
500	45501	36237
501	45682	36218
502	45909	36234
503	46097	36219
504	46338	36244
505	46582	36271
506	46854	36319
507	47251	36461
508	47487	36478
509	48027	36726
510	48546	36955
511	49241	37315
512	49763	37541
513	50166	37673
514	50604	37830
515	51192	38097
516	51708	38306
517	52229	38516
518	52749	38723
519	53459	39066
520	54044	39314
521	54339	39349
522	54517	39298
523	54867	39370
524	55113	39366
525	55456	39431
526	55704	39426
527	56068	39502
528	56360	39527
529	56578	39498
530	56903	39543
531	57190	39560
532	57493	39587
533	57717	39558
534	57863	39476
535	58098	39455
536	58547	39576
537	58941	39659
538	59407	39788
539	59566	39711
540	59966	39792
541	60760	40133
542	61164	40213
543	61495	40243
544	61957	40357
545	62251	40360
546	62419	40281
547	62680	40261
548	62925	40230
549	63124	40169
550	63343	40121
551	63565	40074
552	63791	40028
553	63980	39959
554	64354	40004
555	64700	40030
556	64936	39988
557	65110	39906
558	65338	39857
559	65571	39811
560	65763	39739
561	66068	39735
